11,"6AM",17-DEC-2016 06:00:01,17-DEC-2016 06:06:00,"North","",0.28807375,0.32567875,0.3716325,0.427835,0.49661375,0.58090875,0.684285,0.8113275,0.96778125,1.161445,1.402675,1.70415,2.083,2.560925,3.1652625,3.9318875,4.92895,6.252875,8.018125,10.376375,13.533875,17.80225,23.655875,32.01125,44.568125,3973562500000000,,,,,,,,,,,,,,2485.43,2504.49,2523.78,2543.51,2563.79,2584.56,2605.83,2627.48,2649.26,2671.47,2694.32,2717.25,2740.46,2763.77,2787.09,2810.98,2835.29,2860.31,2886.11,2912.57,2939.65,2967.61,2996.12,3025.51,3054.63,3075.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"6AM",17-DEC-2016 06:00:01,17-DEC-2016 06:06:00,"South","",0.30085625,0.34241125,0.3919725,0.45128875,0.52189125,0.60584875,0.7062,0.82674375,0.9719575,1.14619,1.355375,1.6097,1.921675,2.3045125,2.7751375,3.3562,4.0754,4.966975,6.0760625,7.4717125,9.255525,11.5621375,14.55825,18.491,23.767,31.254875,44.429125,,,,,,,,,,,,,2573.64,2593.3,2613.27,2633.21,2653.27,2673.15,2693.24,2713.81,2733.77,2753.36,2773.52,2793.24,2813.39,2834.09,2855.34,2877.33,2899.89,2922.98,2946.06,2968.73,2991.05,3014.09,3037.33,3060.79,3084.41,3108.21,3131.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"12PM",17-DEC-2016 12:00:01,17-DEC-2016 12:05:51,"North","",0.28807375,0.32567875,0.3716325,0.427835,0.49661375,0.58090875,0.684285,0.8113275,0.96778125,1.161445,1.402675,1.70415,2.083,2.560925,3.1652625,3.9318875,4.92895,6.252875,8.018125,10.376375,13.533875,17.80225,23.655875,32.01125,44.568125,3973562500000000,,,,,,,,,,,,,,2485.43,2504.49,2523.78,2543.51,2563.79,2584.56,2605.83,2627.48,2649.26,2671.47,2694.32,2717.25,2740.46,2763.77,2787.09,2810.98,2835.29,2860.31,2886.11,2912.57,2939.65,2967.61,2996.12,3025.51,3054.63,3075.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"12PM",17-DEC-2016 12:00:01,17-DEC-2016 12:05:51,"South","",0.30085625,0.34241125,0.3919725,0.45128875,0.52189125,0.60584875,0.7062,0.82674375,0.9719575,1.14619,1.355375,1.6097,1.921675,2.3045125,2.7751375,3.3562,4.0754,4.966975,6.0760625,7.4717125,9.255525,11.5621375,14.55825,18.491,23.767,31.254875,44.429125,,,,,,,,,,,,,2573.64,2593.3,2613.27,2633.21,2653.27,2673.15,2693.24,2713.81,2733.77,2753.36,2773.52,2793.24,2813.39,2834.09,2855.34,2877.33,2899.89,2922.98,2946.06,2968.73,2991.05,3014.09,3037.33,3060.79,3084.41,3108.21,3131.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"6PM",17-DEC-2016 18:00:01,17-DEC-2016 18:05:53,"North","",0.28807375,0.32567875,0.3716325,0.427835,0.49661375,0.58090875,0.684285,0.8113275,0.96778125,1.161445,1.402675,1.70415,2.083,2.560925,3.1652625,3.9318875,4.92895,6.252875,8.018125,10.376375,13.533875,17.80225,23.655875,32.01125,44.568125,3973562500000000,,,,,,,,,,,,,,2485.43,2504.49,2523.78,2543.51,2563.79,2584.56,2605.83,2627.48,2649.26,2671.47,2694.32,2717.25,2740.46,2763.77,2787.09,2810.98,2835.29,2860.31,2886.11,2912.57,2939.65,2967.61,2996.12,3025.51,3054.63,3075.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"6PM",17-DEC-2016 18:00:01,17-DEC-2016 18:05:53,"South","",0.30085625,0.34241125,0.3919725,0.45128875,0.52189125,0.60584875,0.7062,0.82674375,0.9719575,1.14619,1.355375,1.6097,1.921675,2.3045125,2.7751375,3.3562,4.0754,4.966975,6.0760625,7.4717125,9.255525,11.5621375,14.55825,18.491,23.767,31.254875,44.429125,,,,,,,,,,,,,2573.64,2593.3,2613.27,2633.21,2653.27,2673.15,2693.24,2713.81,2733.77,2753.36,2773.52,2793.24,2813.39,2834.09,2855.34,2877.33,2899.89,2922.98,2946.06,2968.73,2991.05,3014.09,3037.33,3060.79,3084.41,3108.21,3131.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"12AM",18-DEC-2016 00:00:01,18-DEC-2016 00:05:55,"North","",0.28807375,0.32567875,0.3716325,0.427835,0.49661375,0.58090875,0.684285,0.8113275,0.96778125,1.161445,1.402675,1.70415,2.083,2.560925,3.1652625,3.9318875,4.92895,6.252875,8.018125,10.376375,13.533875,17.80225,23.655875,32.01125,44.568125,3973562500000000,,,,,,,,,,,,,,2485.43,2504.49,2523.78,2543.51,2563.79,2584.56,2605.83,2627.48,2649.26,2671.47,2694.32,2717.25,2740.46,2763.77,2787.09,2810.98,2835.29,2860.31,2886.11,2912.57,2939.65,2967.61,2996.12,3025.51,3054.63,3075.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"12AM",18-DEC-2016 00:00:01,18-DEC-2016 00:05:55,"South","",0.30085625,0.34241125,0.3919725,0.45128875,0.52189125,0.60584875,0.7062,0.82674375,0.9719575,1.14619,1.355375,1.6097,1.921675,2.3045125,2.7751375,3.3562,4.0754,4.966975,6.0760625,7.4717125,9.255525,11.5621375,14.55825,18.491,23.767,31.254875,44.429125,,,,,,,,,,,,,2573.64,2593.3,2613.27,2633.21,2653.27,2673.15,2693.24,2713.81,2733.77,2753.36,2773.52,2793.24,2813.39,2834.09,2855.34,2877.33,2899.89,2922.98,2946.06,2968.73,2991.05,3014.09,3037.33,3060.79,3084.41,3108.21,3131.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"6AM",18-DEC-2016 06:00:02,18-DEC-2016 06:05:54,"North","",0.28807375,0.32567875,0.3716325,0.427835,0.49661375,0.58090875,0.684285,0.8113275,0.96778125,1.161445,1.402675,1.70415,2.083,2.560925,3.1652625,3.9318875,4.92895,6.252875,8.018125,10.376375,13.533875,17.80225,23.655875,32.01125,44.568125,3973562500000000,,,,,,,,,,,,,,2485.43,2504.49,2523.78,2543.51,2563.79,2584.56,2605.83,2627.48,2649.26,2671.47,2694.32,2717.25,2740.46,2763.77,2787.09,2810.98,2835.29,2860.31,2886.11,2912.57,2939.65,2967.61,2996.12,3025.51,3054.63,3075.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"6AM",18-DEC-2016 06:00:02,18-DEC-2016 06:05:54,"South","",0.30085625,0.34241125,0.3919725,0.45128875,0.52189125,0.60584875,0.7062,0.82674375,0.9719575,1.14619,1.355375,1.6097,1.921675,2.3045125,2.7751375,3.3562,4.0754,4.966975,6.0760625,7.4717125,9.255525,11.5621375,14.55825,18.491,23.767,31.254875,44.429125,,,,,,,,,,,,,2573.64,2593.3,2613.27,2633.21,2653.27,2673.15,2693.24,2713.81,2733.77,2753.36,2773.52,2793.24,2813.39,2834.09,2855.34,2877.33,2899.89,2922.98,2946.06,2968.73,2991.05,3014.09,3037.33,3060.79,3084.41,3108.21,3131.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
